,director_and_writers,rating,title,year
148,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.1,O Lobo de Wall Street,2013
149,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.1,V de Vingança,2005
150,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.1,"Blade Runner, o Caçador de Andróides",1982
151,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.1,Guerreiro,2011
152,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",8.1,Morangos Silvestres,1957
153,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.1,General,1926
154,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.1,Disque M para Matar,1954
155,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.1,Trainspotting: Sem Limites,1996
156,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.1,Onde os Fracos Não Têm Vez,2007
157,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.1,...E o Vento Levou,1939
158,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.1,Sangue Negro,2007
159,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.1,O Sexto Sentido,1999
160,"Joel Coen (dir.), William H. Macy, Frances McDormand",8.1,Fargo: Uma Comédia de Erros,1996
161,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.1,Gran Torino,2008
162,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.1,O Enigma de Outro Mundo,1982
163,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.1,O Franco Atirador,1978
164,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",8.1,Bancando o Águia,1924
165,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.1,Procurando Nemo,2003
166,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.1,Vá e Veja,1985
167,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.1,O Grande Lebowski,1998
168,"Christopher McQuarrie (dir.), Tom Cruise, Henry Cavill",8.1,Missão: Impossível - Efeito Fallout,2018
169,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.1,Kill Bill: Volume 1,2003
170,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.1,Rebeldia Indomável,1967
171,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.1,Ilha do Medo,2010
172,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.1,"Rebecca, A Mulher Inesquecível",1940
173,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.1,Era uma Vez em Tóquio,1953
174,"F.W. Murnau (dir.), George O'Brien, Janet Gaynor",8.1,Aurora,1927
175,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.1,Até o Último Homem,2016
176,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.1,Mary e Max: Uma Amizade Diferente,2009
177,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.1,Como Treinar o Seu Dragão,2010
178,"David Fincher (dir.), Ben Affleck, Rosamund Pike",8.1,Garota Exemplar,2014
179,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.1,Relatos Selvagens,2014
180,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8.1,Na Natureza Selvagem,2007
181,"Yavuz Turgul (dir.), Sener Sen, Ugur Yücel",8.1,O Bandido,1996
182,"Terry Jones (dir.), Graham Chapman, John Cleese",8.1,A Vida de Brian,1979
183,"Steven Spielberg (dir.), Sam Neill, Laura Dern",8.1,Jurassic Park: Parque dos Dinossauros,1993
184,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.1,Aconteceu Naquela Noite,1934
185,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8.1,Platoon,1986
186,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",8.1,Em Nome do Pai,1993
187,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.1,O Grande Hotel Budapeste,2014
188,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",8.1,Conta Comigo,1986
189,"Andrei Tarkovsky (dir.), Anatoliy Solonitsyn, Ivan Lapikov",8.1,Andrei Rublev,1966
190,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8.1,Rede de Intrigas,1976
